,user,Tweet Text,location
166,shahzadali2615,"RT @Shbazgillfan: A person who stood firm in the face of falsehood.
Who was fired from his job for supporting the right.
Who always motivat…","Lahore, Pakistan"
167,IshaqAf88218207,"RT @ShehryarAfridi1: Thank you Peshawar for standing up for Pakistan &amp; for @imrankhanpti . We will never let you down, we will not let anyo…",
168,PTIworker512,"RT @ptipromote1: This is difficult yaaar,  i mean our opposite gender can tell 😂😂😂😂😁😁

#امپورٹڈ_حکومت_نامنظور 
 https://t.co/a4RHqY5mjH","کراچی, پاکستان"
169,RaheelMarkhor,"RT @Imranriazkhan_a: #امپورٹڈ_حکومت_نامنظور
Retweet &amp; Comment ""Ameen"" https://t.co/vIKSzvdGHV",karachi pakistan
170,ranaalihussnain,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",pakistan
171,Shahzadsujra,RT @Hammad_Azhar: A mammoth jalsa in Peshawar. The whole nation is speaking out like never before. Whoever thinks he can defeat this is a f…,"Sargodha, Pakistan"
172,waqarakif,"RT @Engr_Naveed111: Foreign Funding Case against PTI is nothing but a piece of crap. 

Rumors of banning PTI are there since 2017.

Suppose…",Lahore Pakistan
173,Mb54280073,"RT @Iam_Zai13: Imported government not acceptable
#امپورٹڈ_حکومت_نامنظور",Multan
174,QADEER_G,"RT @QADEER_G: ""Youth is ill-informed""
Dear DG ISPR!
This is insult!The youth is very well informed. This isn't 70's, this is 2022! They're…","Luton, England"
175,AnabyaGul,"RT @imranriazkhan_O: History is the witness that who ever goes against khan sahab, Allah destroyed him/her. And who ever stands with him. A…",
176,EngrAfra,"RT @_TariqAhmedKhan: In One day,the question is HOW? #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور https://t.co/qXJyXrTa25",
177,JavaidYousaf6,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Punjab, Pakistan"
178,jkbellforever,"RT @UUShaikh: Who ever did this, nailed it 🤣🤣

#امپورٹڈ_حکومت_نامنظور https://t.co/VvHWuucw6y",
179,ATrimze,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Islamabad, Pakistan"
180,mub18160,Collaborators of foreign backed regime change could collaborate in taking IK's life. Expect anything from them. Pra… https://t.co/6YugLdGaYk,
181,Momna421,Our slogan - early elections #امپورٹڈ_حکومت_نامنظور,
182,ranaadnan5,RT @Loyalist_Pk1: It is proved in today's press conference that this imported government is imposed on Pakistan by some foreign power and w…,
183,javedamafhh13,"RT @NomanBinSafdar: #ImranKhan did not violate the constitution https://t.co/KjP2t0AyPK via @AJEnglish

A very balanced comment by @SaadRas…",
184,aish2nymph,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,"Stockholm, Sverige"
185,shakeel_a_ch,"Staying neutral when fire is raging, is standing with the one who lit it.
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت",
186,AyazJad96884874,"RT @AJShafquat: #امپورٹڈ_حکومت_نامنظور

We the people, the institutions and the forces are one nation. And today we stand together and unit…","Peshawar, Pakistan"
187,AnsarKHANNiazi8,"RT @Aamber0098: Karachi are you ready to welcome the leader of muslim ummah ?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت https://t.co/i0Qn0o…",Mianwali 
188,dawn3dd2,"RT @Dija0821: Whoever made this picture... He/She did a great job.
#امپورٹڈ_حکومت_نامنظور https://t.co/HS24eLmxMy",UAE
189,sumair350,"RT @Engr_Naveed111: Foreign Funding Case against PTI is nothing but a piece of crap. 

Rumors of banning PTI are there since 2017.

Suppose…",Pakistan
190,NaeemKh46152448,"RT @AKFixit: Special Message for Karachiites regarding 16th of April | Karachi Jalsa at Bagh-e-Jinnah. 

#امپورٹڈ_حکومت_نامنظور #کراچی_کپتا…",
191,Niazi___777,"RT @BleedGreenKP: Who can defeat the nation who has such courageous, honest and loyal people among them. May Allah protect u all fighting f…",
192,abuasadhamza786,RT @Shahid82700024: #امپورٹڈ_حکومت_نامنظور  Imported Government is unacceptable for Pakistani Nation! Absolutely Not! https://t.co/6FRQlZzJ…,
193,MirajAfan,RT @PTIofficial: “The phases of the conspiracy keeps going on. When Imran Khan was the PM he didn’t hesitate from responding to the threats…,
194,nisarahmedmm,RT @PTIofficial: “The phases of the conspiracy keeps going on. When Imran Khan was the PM he didn’t hesitate from responding to the threats…,"Attock, Pakistan"
195,ShahidaAfzal10,"RT @AzharMi50953236: ""Youth is ill-informed""

Dear @OfficialDGISPR ! 

This is insult!The youth is very well informed. This is 2022! They'r…",
196,Taimur0067,"RT @ptipromote1: #امپورٹڈ_حکومت_نامنظور

Just Retweet dont Ask why https://t.co/xbbtIkjQEL",
197,saahmed1977,RT @syedsaalaar: Beautiful short clip must watch #امپورٹڈ_حکومت_نامنظور https://t.co/ApsCOHXzzw,
198,ImranKh77430582,RT @realsyedfahad: “The phases of the conspiracy keeps going on. When Imran Khan was the PM he didn’t hesitate from responding to the  thre…,Senegal
199,kiran78081263,RT @Shbazgillfan: We stand by our BRAVE &amp; HONEST leader #امپورٹڈ_حکومت_نامنظور https://t.co/rYLzw7LN2T,Pakistan
200,ShanGhani1,"RT @kalsoomyawar: Har Pakistani Ki Aawaz.🇵🇰
Beggars Can't Be Leader.🤬
#امپورٹڈ_حکومت_نامنظور https://t.co/NscwOQ1oL8","Punjab, Pakistan"
201,adnanmehmood867,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",
202,ShbMuhammad,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
203,DarkScott,"RT @MQKhan20: Two different stories in one picture!
Now who is competent for the foreign ministry?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخل…","Rawalpindi, Pakistan."
204,Dreamweaver700,"RT @Maepoleon: ""I didn't choose the thug life, the thug life chose me""
                         - Tupac Shakur
#امپورٹڈ_حکومت_نامنظور https…",
205,zeeshan_hasni,RT @Zeeshan46772370: Maj haris beaten by (PMLN) Salman rafique and their guards #امپورٹڈ_حکومت_نامنظور https://t.co/9q1O4xUON3,Pakistan
206,ranaadnan5,"RT @Kainat_hn_yar: #امپورٹڈ_حکومت_نامنظور

I think election is the best option for imported government. https://t.co/wjeC3OEHot",
207,AmbitiousFree,RT @javaid_ayesha: @Ahmed04646369 @ImranARaja1 @OfficialDGISPR Made more controversies  #امپورٹڈ_حکومت_نامنظور,"24.830709,67.155045"
208,farrukhbashir75,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,"Multan Cantt, Pakistan"
209,abzden786,RT @Awesome50134305: Ye unk liye joh kehtey Hain absolutely fraud.Hope of Islamic countries and the leader of Islamic republic of Pakistan.…,
210,powersourceelec,"RT @dsak1126: Yesterday PTI vs. PDM and USA. Today DGISPR clarifies that it's between PTI, Pakistan vs. Army, is defending PDM and fighting…",Abu Dhabi United arab Emirates
211,oriya_shah,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…","Lahore, Pakistan"
212,haseebkamran10,"Scenes from Copenhagen’s City Hall Square. Massive support for 
@ImranKhanPTI &amp; @PTIofficial.… https://t.co/qWCjEoK8vF","Copenhagen, Denmark"
213,hakimpalestine,"RT @AsmaQam80211058: I wonder if the establishment thought that people, especially the youth would be fooled with the play on words? Thankf…",
214,umair13adil,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",Islamabad
215,farooqahabro,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…","Islamabad, Pakistan"
216,shahzadali2615,RT @_ChNisarAliKhan: We stand by our BRAVE &amp; HONEST leader #امپورٹڈ_حکومت_نامنظور https://t.co/mTuHVVDKEe,"Lahore, Pakistan"
217,AnjumSalman4,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,Pakistan
218,d4CNovC801Ogx4S,"RT @Wasim_Wazir: What an incredible editing. Masha Allah. 

*The scars can be dangerous, but if we can survive then.....*

🔥🔥🔥✌🏻

#امپورٹڈ_…","دبي, الامارات العربية المتحدة"
219,Hey_mojjo,"RT @ToobaBittoo: What's the difference between Sazish and Madakhalat?? CSS Aspirants be ready for this question.🙆🫡
#امپورٹڈ_حکومت_نامنظور…",", Pakistan"
220,nathirhussein,"RT @BetaGirl__: Pleae find lieutenant General Asif Ghafoor and Faiz Hameed ;)
#امپورٹڈ_حکومت_نامنظور https://t.co/8KNrlUoKZ7",USA
221,Muhamma28884935,"RT @SamheWorld: May Allah protect our khan and Paksitan from all the animals , traitors etc.
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت 
#ساز…",
222,Niros31785374,"RT @QuranAndHadithh: Retweet ❤️❤️❤️

#امپورٹڈ_حکومت_نامنظور https://t.co/mER62LueXq",Sri Lanka
223,Mohamma07133305,"RT @Mansoor82289764: Defining moments Pakistanio

#امپورٹڈ_حکومت_نامنظور https://t.co/QSrrzmrmhU",
224,UmerAli62195484,"RT @BleedGreenKP: We love you and care you khan shab 
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت 
#AbsolutelyNot https://t.co/kcEB7uRUZN",
225,sarfraz12121,"RT @DaniM199205: @LeylaZuberi @zartajgulwazir Ms. Maryam Nawaz's statement: Don't run away from the country, Imran Khan.
 Imran never ran a…",UK
226,humaK_Rasheed26,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",United States/Karachi Pakistan
227,Manmouji2,"RT @iMAmirkhi: We are Ready My Leader Karachi starts welcoming you from now on we are waiting for your words InshaAllah.
#سازش_نہیں_مداخلت…",
228,MZubir45135433,RT @Loyalist_Pk1: After listening to @BBhuttoZardari stupidest response on dynasty politics in Pakistan I am ashamed. He is probably our fu…,"Multan, Pakistan"
229,Sarfraz_Sukhera,"RT @HMZaid10: “Bravery is standing with the truth and right” ― Imran Khan #امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت https://t.co/73kRtUlyki",Pakistan
230,WaqasArainVicky,"RT @Javidperu: One said whole nation is begger
Other says youth is ill informed.

 #امپورٹڈ_حکومت_نامنظور","Karachi, Pakistan"
231,hiddenraz1981,"RT @JaMaLLodhi1: Patistani's are not beggers we will show u soon In Sha Allah... Pakistan Zindabad 🇵🇰❤️
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_م…",
232,faheemhira,"Conduct election now 8
#امپورٹڈ_حکومت_نامنظور",
233,Usman_Majeed786,"RT @Muhamma88554898: So basically they're trying to justify the ouster of Imran Khan.
#سازش_نہیں_مداخلت 
#امپورٹڈ_حکومت_نامنظور https://t.c…",
234,Taimoor319,"RT @59set: You guys miscalculated 

 #امپورٹڈ_حکومت_نامنظور https://t.co/yyDSlZYS4R","Lahore, Pakistan"
235,87Nadds,"RT @ShayanA2307: We REJECT the imported government in Pakistan. Protest on the 17th of April, London (Hyde Park, Marble Arch, W1H 7EJ) #امپ…",
236,bilalkhanawab,"RT @Waji_Tweet: Imran Khan is more aggressive 🔥now because he has seen the true enemies of Pakistan, the judiciary and secret hands will no…",Pakistan
237,Eithad4,"RT @Shbazgillfan: A person who stood firm in the face of falsehood.
Who was fired from his job for supporting the right.
Who always motivat…",Alger                         
238,AzizKha08189228,"RT @PTIofficial: Chairman PTI @ImranKhanPTI earlier today, in Bani Gala. Imran Khan will be in Peshawar today. 
#امپورٹڈ_حکومت_نامنظور http…",
239,BahawalJanjua1,"RT @Khalid_Yousfzia: This is difficult yaaar,  i mean our opposite gender can tell 😂😂😂😂😁😁

#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت https:…",
240,RajaBil93511312,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov","Karachi, Pakistan"
241,Wajahat7890,"RT @bitter_lion: Ameeen. 

#امپورٹڈ_حکومت_نامنظور https://t.co/qO5DIEXqR3",Pakistan
242,Zulfiqa79794568,"RT @durrenajaf313: Although things are not going in the right direction except for public confidence in IK, the actual motivation is that w…",
243,CrispyCrikey,"@Jooookeeeerrrr Please ignore lifafas. They thrive on your retweets…

#امپورٹڈ_حکومت_نامنظور",
244,HamzaWa94558772,"RT @FactCheckAsia: Raise logical question, don't target anyone. Stand with your leader 

My question is: US meet with our MNAs so we want J…",
245,ShabbirHusayn1,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…",
246,abuasadhamza786,"RT @RealYasir__Khan: Top trend in Oman with 2.49 million tweets. 
Overseas Pakistanis in gulf countries are rejecting imported government.…",
247,mamoon75uk,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…",
248,sajjad_irfan,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK","Glasgow, Scotland"
249,ranaadnan5,RT @ShahramKTarakai: We reject imported government. #امپورٹڈ_حکومت_نامنظور https://t.co/IPm3XKweEZ,
250,Kha06402590Mike,RT @Dr_YasminRashid: I wonder how someone riding on the back of dynastic politics be so comfortable in their skin knowing full well they ar…,"California, USA "
251,waqarakif,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",Lahore Pakistan
252,AnsarKHANNiazi8,RT @Awesome50134305: Ye unk liye joh kehtey Hain absolutely fraud.Hope of Islamic countries and the leader of Islamic republic of Pakistan.…,Mianwali 
253,arbainrahat1,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…",
254,Khan22187882,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",
255,sarcasmist7,"RT @Shbazgillfan: Retweet &amp; Comment ""Ameen""
#امپورٹڈ_حکومت_نامنظور https://t.co/BGQguoqoaX","Lahore, Pakistan"
256,UzairAmeen87,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",Karachi
257,Shafeeq83017532,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
258,AmmarMurtaza17,"@RehamKhan1 Standards are always out of date. ..
#منقول #امپورٹڈ_حکومت_نامنظور","Punjab, Pakistan"
259,ZainAbd59426827,"RT @farrukhhashmii: Yes please decide all cases pertaining to all parties including PML, PPP, MQM for better justice. Even investigate fund…",
260,usman_najmal,"RT @iasalikhan143: 😂😂😂✌✌✌✌✌✌✌✌✌✌
Imran khan won the game....
Now start other series😛😛😛

#امپورٹڈ_حکومت_نامنظور https://t.co/Ub0akSMwD1",
261,AyeshaaJunaid,"RT @ptipromot: ❤ Picture of the Day

#امپورٹڈ_حکومت_نامنظور https://t.co/My4gw0cAmD",
262,H3LLYard,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",HELL
263,Kp_Blue3,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",
264,SARMAD_WAQAS,"@iVeenaKhan #saamatv #GeoNews #dunianews #24news #92news are being given huge money to blackout, the thing people s… https://t.co/RBaQcasNce",United Arab Emirates
265,Ibrahim02114,"So all you guys wondering
Whats saazish and whats interference listen from John Perkin 
""Economic hitman is a sazis… https://t.co/4VJZbfCUQh",
266,SaadiQabil,"RT @farrukhhashmii: Yes please decide all cases pertaining to all parties including PML, PPP, MQM for better justice. Even investigate fund…",
267,roomank07382960,"RT @AmbreenPTI1: The worst thought anyone would have for Pakistani youth 

""Youth well-informed nai hai."" DG ISPR said that for Pakistani y…",pakistan
268,QasimKh38957723,"RT @MQKhan20: Two different stories in one picture!
Now who is competent for the foreign ministry?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخل…","Lahore, Pakistan"
269,d4CNovC801Ogx4S,"RT @I__Rana_: History created! IK is breaking his own record.
Nobody in Pakistan can pull off bigger crowds at the moment than Imran Khan w…","دبي, الامارات العربية المتحدة"
270,Rama14955040,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",
271,NaumanSiddiq5,"RT @SehwaniMohsin: As I already said Imran khan has always been two steps ahead from them he had already played master stroke!
#امپورٹڈ_حکو…",Pakistan
272,waqassh87825281,RT @PTIofficial: It seems like there is nothing that can stop Pakistanis from going to PTI Rallies against the Imported Government! Totally…,
273,K22dilahk,"RT @AliHZaidiPTI: What’s the confusion about🤷🏻‍♂️

#امپورٹڈ_حکومت_نامنظور https://t.co/1eIxe36NeC",
274,rutba1990,"RT @Uman_00: Hazrat Muhammad (S.A.W) is our role model.
We are proud to be Muslims &amp; Imran Khan is the real face of Muslims ❤️

#امپورٹڈ_حک…",Lahore
275,KMahmood1972,"RT @ShireenMazari1: Q is who from Pak gave impression to US, as claimed in quotes in doc, that only IK made decision to visit Russia. Is th…",
276,AsifBan99240079,"RT @Wasim_Wazir: You are snatching our hopes in broad daylight and then calling us ill informed 😭😭😭

#امپورٹڈ_حکومت_نامنظور","Doha, Qatar"
277,Israr_hisbani97,"RT @kalsoomyawar: Har Pakistani Ki Aawaz.🇵🇰
Beggars Can't Be Leader.🤬
#امپورٹڈ_حکومت_نامنظور https://t.co/NscwOQ1oL8",
278,khawajasalman01,"RT @ptipromote1: This is difficult yaaar,  i mean our opposite gender can tell 😂😂😂😂😁😁

#امپورٹڈ_حکومت_نامنظور 
 https://t.co/a4RHqY5mjH","Bahawalpur, Pakistan"
279,TariqSo73403488,"RT @umesalma_: ONCE AGAIN I am requesting all Pakistani security agencies to provide @ImranKhanPTI FOOL PROOF security. 

This is every Pak…",
280,fabulouskhan10,"RT @Dija0821: Whoever made this picture... He/She did a great job.
#امپورٹڈ_حکومت_نامنظور https://t.co/HS24eLmxMy",
281,JangliMarkhor,"RT @Engr_Naveed111: That’s how they fool innocent masss , Test Run of the Busses was scheduled in April , same was announced in February.…","لاہور, پاکستان"
282,Being_Abdullah,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…",
283,RehaanK44569092,RT @Hammad_Azhar: A mammoth jalsa in Peshawar. The whole nation is speaking out like never before. Whoever thinks he can defeat this is a f…,
284,kiran78081263,"RT @kalsoomyawar: Har Pakistani Ki Aawaz.🇵🇰
Beggars Can't Be Leader.🤬
#امپورٹڈ_حکومت_نامنظور https://t.co/NscwOQ1oL8",Pakistan
285,Shahzadsujra,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,"Sargodha, Pakistan"
286,Hey_mojjo,"RT @AsifKha90081642: Imran Khan is more aggressive 🔥now because he has seen the true enemies of Pakistan, the judiciary and secret hands wi…",", Pakistan"
287,Daiwal2001,"I bought a new Noor Alam today,
How does it look?
#امپورٹڈ_حکومت_نامنظور https://t.co/B8ODH93yzq",London United Kingdom
288,farrukhbashir75,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Multan Cantt, Pakistan"
289,92_Sefi,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov","Jhelum,Pakistan"
290,faheemb10937764,"RT @Shbazgillfan: Whoever made this picture... He/She did a great job.
#امپورٹڈ_حکومت_نامنظور https://t.co/JCUUxTctRb",Pakistan
291,WaqasArainVicky,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…","Karachi, Pakistan"
292,ARSALANARSHAD24,"RT @RukhsanaQ: This was a completely political PC - Kashif Abbasi 
#امپورٹڈ_حکومت_نامنظور","Karachi, Pakistan"
293,shahabyousafzi,RT @iqbal_malik88: Going  to makkah for umrah and pray for imran khan @ImranKhanPTI #امپورٹڈ_حکومت_نامنظور https://t.co/qM3QsyFK8Z,"Mardan, Pakistan"
294,skhuram74,"RT @AzharLaghari_: Anythinh they do against @ImranKhanPTI turns into blessing for him… That’s Allah

#امپورٹڈ_حکومت_نامنظور","Ile-de-France, France"
295,UmerAli62195484,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
Once a truthful is always a truthful!! https://t.co/TtIKjyk5aF",
296,Sidra__55,"RT @BleedGreenKP: Heart writching pic 
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت https://t.co/uVdctSJ4b0","Istanbul, Turkey"
297,dawn3dd2,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",UAE
298,ZairaZehra1,"RT @bilalzulfy: Beggers 
#امپورٹڈ_حکومت_نامنظور https://t.co/rWGA925gnd",
299,Mansabd24117097,"RT @ShahjeeNaseeb: Speaking from heart 😌😞😠✌️
 #امپورٹڈ_حکومت_نامنظور https://t.co/x28iILpGSM",
300,ShanGhani1,"RT @adeelrana600: I request all of you to choose your words carefully in your posts regarding Pakistan's institutions.

These are our own,…","Punjab, Pakistan"
301,KauserJunaid2,"RT @TariqMe07510420: DG ISPR said that Latter is there from USA,the interference is there by USA,,
PM Sir,are you ready to resign now,?????…",
302,AnsarKHANNiazi8,"RT @Ch_Imran0: The national will of the people of Pakistan is to conduct elections now!
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت https://t.…",Mianwali 
303,naeemrehman547,"RT @ImranAsfia: Both r on same page 
#امپورٹڈ_حکومت_نامنظور","Buner,kpk,Pakistan"
304,HasnainJamil19,"RT @Uman_00: In 2020 We Youth are well aware 

In 2022 We are Not Well Informed 💔

#امپورٹڈ_حکومت_نامنظور https://t.co/Yke4F6ctHK","Islamabad, Pakistan"
305,mubarakrodnani,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…",
306,abuasadhamza786,"RT @RaiSaim17: Who ever did this, nailed it 🤣🤣

#امپورٹڈ_حکومت_نامنظور https://t.co/gsHoHIA4EG",
307,AbidAli11332101,"RT @addi_tweetss: A real Sharif in Pakistan who is respected by the whole nation 🇵🇰 
#PakistanArmyOurPride #امپورٹڈ_حکومت_نامنظور
#سازش_نہی…",
308,FaisalGhori110,"RT @Muraash4: Yes That’s better stay away from Politics Mr DGISPR 

Let the people of Pakistan decide who they are with 
#امپورٹڈ_حکومت_نام…",
309,ckeekoo,"RT @mpbrohi: Once again they got protection.
#امپورٹڈ_حکومت_نامنظور https://t.co/oN5omcvwJY","Alberta, Canada"
310,AzizKha08189228,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
311,ImranKh77430582,"RT @Haider4PTI: I request all of you to choose your words carefully in your posts regarding Pakistan's institutions.

These are our own, we…",Senegal
312,rashidgorayam,"RT @AsadullahPatha4: Mafia &amp; their supporters will disqualify PTI &amp; leadership through election commission on foriegn funding case.

#امپور…","Toronto, Ontario"
313,Almasshahzad7,"RT @MrShozi8283: Me trying to understand the Difference between ""Sazish"" and ""Mudakhlat""😂🤣#سازش_نہیں_مداخلت #امپورٹڈ_حکومت_نامنظور https://…",
314,salsabelmunir,"RT @ptipromote1: #امپورٹڈ_حکومت_نامنظور

Just Retweet dont Ask why https://t.co/xbbtIkjQEL",
315,GujjarGt,"RT @tweetsby_bravo: ❤️This picture has my heart

#امپورٹڈ_حکومت_نامنظور https://t.co/54vgKJj5T5","Islamabad, Pakistan"
316,JavaidYousaf6,"RT @Javidperu: What do you believe ,our youth is

 #امپورٹڈ_حکومت_نامنظور","Punjab, Pakistan"
317,kh_mudi,"RT @ShayanA2307: We REJECT the imported government in Pakistan. Protest on the 17th of April, London (Hyde Park, Marble Arch, W1H 7EJ) #امپ…",
318,tahirj11,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",
319,Saifull81398320,RT @aamir6311: Imported PM Shahbaz Sharif has announced to close all Panahgahs and Langar Khanas ... extremely shameful step by Imported Go…,
320,BushraK88,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Rawalpindi, Pakistan"
321,TanvMohd,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…","Abu Dhabi, United Arab Emirate"
322,afarooq987,"RT @youareblehh: 23rd PM of Pakistan Shehbaz Sharif is ABSOLUTELY FRAUD

#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت",london
323,Ikpassion4ever,"RT @drsalmankhan55: ""If a Law is Unjust, A man is not only right to disobey it, He is obligated to do so"" 
Thomas Jefferson. 

#امپورٹڈ_حکو…","Punjab, Pakistan"
324,PTIworker512,RT @zartajgulwazir: These words of the infamous petty blasphemer against Imran Khan are medals of glory for the great Pakistani leader and…,"کراچی, پاکستان"
325,usmanKh64171381,RT @zartajgulwazir: This lousy imported puppet regime is so rattled by the massive sustained outpouring of youth that it is considering ban…,
326,Zulfiqa79794568,RT @_ChNisarAliKhan: We stand by our BRAVE &amp; HONEST leader #امپورٹڈ_حکومت_نامنظور https://t.co/mTuHVVDKEe,
327,ranaalihussnain,"RT @Awaisxspark: Love you my Hero...

#امپورٹڈ_حکومت_نامنظور https://t.co/k0NNCngxvF",pakistan
328,farooqahabro,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Islamabad, Pakistan"
329,fatima_khuram4,"RT @PTIofficial: Chairman PTI @ImranKhanPTI earlier today, in Bani Gala. Imran Khan will be in Peshawar today. 
#امپورٹڈ_حکومت_نامنظور http…","Lahore, Pakistan"
