,user,Tweet Text,location
37,AnsarKHANNiazi8,"RT @ifrahabid20: You're free to name it whatever you want, the bottomline is that US wanted removal of Khan &amp; via NoConfidenceMotion. To se…",Mianwali 
38,GhaffarAmin1,"RT @ptipromote1: #امپورٹڈ_حکومت_نامنظور

Just Retweet dont Ask why https://t.co/xbbtIkjQEL",گجرات پاکستان 
39,Xubi1986,"RT @PTIofficial: National Anthem at the Peshawar Jalsa! We are seeing Pakistan change in front of our eyes. By every passing day, the josh…",
40,Sajh777,RT @Kiranshahbaz10: Good night #امپورٹڈ_حکومت_نامنظور,
41,EngrAfra,"RT @AbdulWahab__Pak: ""Youth is ill-informed""

Dear DG ISPR! 

This is insult!The youth is very well informed. This isn't 70's, this is 2022…",
42,AbXr_DwR,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",
43,behindYouCapt,"RT @asmanasirr_: Lesson of the day✨
Sach ka sath do!
#ARYNews 
#امپورٹڈ_حکومت_نامنظور https://t.co/QwTFAHqrw4",
44,abrar61514198,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
Whatever it was, Khan was the target! https://t.co/Q1PALitGre","Punjab, Pakistan"
45,AsadSha75499189,"@RehamKhan1 Oh enough with the ""democrats"" ""rule of law"" if this country, or your parties followed rule of law, you… https://t.co/lvsSyJmmmf",
46,dumb_ness,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
One is allowed to interfere but not to conspire!!!
Logic! https://t.co/uAmn6c8lcn",
47,SaadiQabil,"RT @MahamHa87301753: Insafians,are ya with me ?Lets do this!!✌#امپورٹڈ_حکومت_نامنظور https://t.co/QK0w0IDY7b",
48,ShhidRAMZAN1,"RT @Qandeel_Qayyum: Doob jao!

#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت","Punjab, Pakistan"
49,parsashayk,"RT @BleedGreenKP: Who can defeat the nation who has such courageous, honest and loyal people among them. May Allah protect u all fighting f…",
50,abzden786,RT @Shbazgillfan: Majority of good honest Muslims are with you IMRAN Khan we want you back may ALLAH protect you and keeps you in His Hifzo…,
51,hassoojee,@annie_khalid @PTIforlife #امپورٹڈ_حکومت_نامنظور is the right one and pls write something with the HT otherwise it won’t count.,
52,shahabyousafzi,"RT @tahirengr: Finance Minister of Imported Govt #DGISPR 
#امپورٹڈ_حکومت_نامنظور https://t.co/WHfBgIikGi","Mardan, Pakistan"
53,WaqarAh63445234,"RT @jdofficials3: Me trying to understand the Difference between ""Sazish"" and 
""Mudakhlat""😂🤣
@ImranRiazKhan and @SdqJaan
Aapko to pta hoga…",
54,Samie20981094,"RT @UUShaikh: Who ever did this, nailed it 🤣🤣

#امپورٹڈ_حکومت_نامنظور https://t.co/VvHWuucw6y",
55,UmmeLai70567225,"RT @PTIofficial: National Anthem at the Peshawar Jalsa! We are seeing Pakistan change in front of our eyes. By every passing day, the josh…",
56,skhuram74,"RT @Sufia__J: #امپورٹڈ_حکومت_نامنظور
#BehindYouSkipper 

Long live Imran Khan 🇵🇰
May every hurdle will remove and win is always yours
Ameen…","Ile-de-France, France"
57,haiderjafree,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",Pakistan
58,Nisarkhangawad1,"RT @Asifpti0007: Miss you sir 
#امپورٹڈ_حکومت_نامنظور https://t.co/6R9gYuZIYA",
59,saadsonuali,RT @Shbazgillfan: Majority of good honest Muslims are with you IMRAN Khan we want you back may ALLAH protect you and keeps you in His Hifzo…,"Karachi, Pakistan"
60,Hknyazee,RT @TBajwa7: Pakhtoon usually known as strong hearted but a Pakhtoon brother is crying on Imran Khan’s speech in Peshawar Jalsa last night.…,
61,Zulfiqa79794568,"RT @Muhamma80388119: The people of Pakistan were, are and will always stand with Imran Khan. 🇵🇰
#امپورٹڈ_حکومت_نامنظور https://t.co/kxH774i…",
62,farhans85851131,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",
63,DilbarLawangeen,"RT @MashwaniAzhar: Goosebumps !!!

#امپورٹڈ_حکومت_نامنظور 
https://t.co/D49HOqGuFK",Pakistan
64,imShahidAnjum,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,Pakistan/Saudia/UAE
65,Ibn_e_Aslam,"RT @MashwaniAzhar: Power of Insafians and power of Social Media... Making impact worldwide 

#امپورٹڈ_حکومت_نامنظور 

 https://t.co/kvFbOTd…",
66,SultanAwanGmai1,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
67,SanaAS91408333,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
A spirit that can't be defeated!!! https://t.co/IX42jdd88I",
68,kiran78081263,"RT @TariqMe07510420: DG ISPR said that Latter is there from USA,the interference is there by USA,,
PM Sir,are you ready to resign now,?????…",Pakistan
69,Hey_mojjo,"RT @ID_Nomi: I don't think there is any point in arguing further. From what is being said in the present video, it is clear that there has…",", Pakistan"
70,NaumanBashir87,"Plan to ban PTI, seems like underway...

#امپورٹڈ_حکومت_نامنظور","لاہور, پاکستان"
71,Tuxabbas,"RT @agentjay2009: PDM thinks that this DG ISPR PC washes Ghaddar label? Did they miss this clip?

1) Foreign interference confirmed 

2) Un…",
72,ZairaZehra1,RT @aamiramjad: Trend not coming slow #امپورٹڈ_حکومت_نامنظور https://t.co/PvoskdIJoq,
73,koolshaadow,"RT @PTIofficial: Please only use the bank accounts in this thread for donations to PTI

A/c Title: Pakistan Tehreek-e-Insaf
A/c No.0602-790…",thailand
74,ZareenUsman,Do U think we are fools ?#امپورٹڈ_حکومت_نامنظور,Karachi
75,ImranKh77430582,"RT @TariqMe07510420: DG ISPR said that Latter is there from USA,the interference is there by USA,,
PM Sir,are you ready to resign now,?????…",Senegal
76,Israr_hisbani97,"RT @Abdullah6877685: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God…",
77,Eithad4,"RT @Shbazgillfan: This is difficult yaaar,  i mean our opposite gender can tell 😂😂😂😂😁😁

#امپورٹڈ_حکومت_نامنظور https://t.co/DAJ4vaLLvK",Alger                         
78,Zunaira87691414,"RT @VlogsShamoeel: Shehbaz Sharif's good achievements after taking government.

Light Diesel's price has been increased upto 77 RS/LTR

Ker…",
79,Niazi___777,RT @Awesome50134305: Ye unk liye joh kehtey Hain absolutely fraud.Hope of Islamic countries and the leader of Islamic republic of Pakistan.…,
80,imranmedicos,"@MehrTarar Trend kdr hy sir
#امپورٹڈ_حکومت_نامنظور","Islamabad, Pakistan"
81,SSAwan52,Breaking: 🚨My dream girl is so kind to second my opinion that 👇#امپورٹڈ_حکومت_نامنظور https://t.co/OkivWWpDJh,"Lahore, Pakistan"
82,Maverick898,"RT @AbdulWahab__Pak: ""Youth is ill-informed""

Dear DG ISPR! 

This is insult!The youth is very well informed. This isn't 70's, this is 2022…",
83,fabuloushasan,"RT @Comeback9King: Imran khan and PTI will be disqualified in foreign funding case. 30 days…
 #امپورٹڈ_حکومت_نامنظور","Lahore, Pakistan"
84,d4CNovC801Ogx4S,RT @IrfanKh20463448: Chairman PTI @ImranKhanPTI at the historic Peshawar Jalsa. Thank you Peshawar! #امپورٹڈ_حکومت_نامنظور https://t.co/f1u…,"دبي, الامارات العربية المتحدة"
85,kmalik26414,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…","اسلام آباد, پاکستان"
86,shj137,"@fawadchaudhry @OfficialDGISPR Our Army is Our Pride !!
#امپورٹڈ_حکومت_نامنظور",
87,Itshamzadogar,"RT @MaanSaa00390033: Dear KHAN
Peoples of Pakistan are also Unstoppable ✌
YES we are INSAFIANS ✌
#امپورٹڈ_حکومت_نامنظور https://t.co/ZDW5ey…",
88,jkbellforever,"RT @adeelrana600: I request all of you to choose your words carefully in your posts regarding Pakistan's institutions.

These are our own,…",
89,malikbilal53,"RT @Wasim_Wazir: You are snatching our hopes in broad daylight and then calling us ill informed 😭😭😭

#امپورٹڈ_حکومت_نامنظور",Pakistan 
90,Pak5GWDefence,We are neutral and nothing to do with politics and nothing to do with US interference but oh sorry I forget to tell… https://t.co/HQCrZgn0fy,
91,NayaPak16358965,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",
92,kiya_haiii,"RT @ShayanA2307: We REJECT the imported government in Pakistan. Protest on the 17th of April, London (Hyde Park, Marble Arch, W1H 7EJ) #امپ…",Desert
93,MZubir45135433,"RT @Abrar_views: #سازش_نہیں_مداخلت
#امپورٹڈ_حکومت_نامنظور 
A spirit that can't be defeated!!! https://t.co/IX42jdd88I","Multan, Pakistan"
94,mhmdshad4,"RT @ahmednoorhamid: #PeshwarRejectsImranKhan #DGISPR #امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت
#عہدشکن_شکنجےمیں
""ABSOLUTELY FRAUD""
""Justice…",
95,theWajahatAli,RT @han3yy: So the country has enough money to throw iftar parties for journalists but not to feed the poor? #امپورٹڈ_حکومت_نامنظور,"Crawley, England"
96,Muhamma12442860,"RT @junaiz98: ""Youth is ill-informed""

Dear DG ISPR! 

This is insult!The youth is very well informed. This isn't 70's, this is 2022! They'…",
97,Mohamma97273109,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
98,Shahzaib4shahid,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…","Salalah, Oman"
99,WaqarAh63445234,"RT @Abdullah6877685: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God…",
100,abuasadhamza786,"RT @AbdulWa25967597: The whole story of regime change in Pakistan:
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت #امپورٹڈ_حکومت_نامنظور https://…",
